"district","total","%","Day-to-day activities limited a lot","%","Day-to-day activities limited a little","%","Day-to-day activities not limited","%","Day-to-day activities limited a lot: Age 16 to 64","%","Day-to-day activities limited a little: Age 16 to 64","%","Day-to-day activities not limited: Age 16 to 64","%","Very good health","%","Good health","%","Fair health","%","Bad health","%","Very bad health","%","Provides no unpaid care","%","Provides 1 to 19 hours unpaid care a week","%","Provides 20 to 49 hours unpaid care a week","%","Provides 50 or more hours unpaid care a week","%"

"Darlington",105564,100.0,9821,9.3,10902,10.3,84841,80.4,4474,4.2,5195,4.9,57249,54.2,47046,44.6,37199,35.2,15116,14.3,4763,4.5,1440,1.4,94516,89.5,6863,6.5,1427,1.4,2758,2.6
"County Durham",513242,100.0,62875,12.3,58411,11.4,391956,76.4,29292,5.7,29985,5.8,273636,53.3,217373,42.4,171564,33.4,82404,16.1,32568,6.3,9333,1.8,453187,88.3,34336,6.7,8826,1.7,16893,3.3
"Hartlepool",92028,100.0,11137,12.1,10178,11.1,70713,76.8,5319,5.8,5336,5.8,47975,52.1,39816,43.3,30117,32.7,14607,15.9,5789,6.3,1699,1.8,82104,89.2,5325,5.8,1555,1.7,3044,3.3
"Middlesbrough",138412,100.0,14959,10.8,13919,10.1,109534,79.1,7593,5.5,7498,5.4,74627,53.9,62855,45.4,45295,32.7,19719,14.2,8001,5.8,2542,1.8,124252,89.8,7516,5.4,2301,1.7,4343,3.1
"Northumberland",316028,100.0,30940,9.8,34558,10.9,250530,79.3,13138,4.2,16047,5.1,169673,53.7,138990,44.0,108458,34.3,48580,15.4,15641,4.9,4359,1.4,280331,88.7,22304,7.1,4553,1.4,8840,2.8
"Redcar and Cleveland",135177,100.0,15482,11.5,15235,11.3,104460,77.3,6788,5.0,7394,5.5,70577,52.2,57285,42.4,45844,33.9,21449,15.9,8184,6.1,2415,1.8,119143,88.1,9004,6.7,2450,1.8,4580,3.4
"Stockton-on-Tees",191610,100.0,17677,9.2,18731,9.8,155202,81.0,8202,4.3,9614,5.0,106736,55.7,88811,46.3,64282,33.5,26385,13.8,9296,4.9,2836,1.5,171686,89.6,11683,6.1,2933,1.5,5308,2.8
"Gateshead",200214,100.0,22917,11.4,21435,10.7,155862,77.8,10669,5.3,10831,5.4,107971,53.9,85320,42.6,67807,33.9,31158,15.6,12152,6.1,3777,1.9,177994,88.9,12588,6.3,3381,1.7,6251,3.1
"Newcastle upon Tyne",280177,100.0,26661,9.5,25916,9.2,227600,81.2,12966,4.6,14012,5.0,166506,59.4,133933,47.8,89096,31.8,38018,13.6,14793,5.3,4337,1.5,254367,90.8,15248,5.4,3726,1.3,6836,2.4
"North Tyneside",200801,100.0,20246,10.1,21159,10.5,159396,79.4,9091,4.5,10474,5.2,110228,54.9,90031,44.8,66955,33.3,30156,15.0,10638,5.3,3021,1.5,178593,88.9,13789,6.9,2941,1.5,5478,2.7
"South Tyneside",148127,100.0,18166,12.3,16315,11.0,113646,76.7,8337,5.6,8323,5.6,78687,53.1,63345,42.8,48861,33.0,23700,16.0,9394,6.3,2827,1.9,131387,88.7,9351,6.3,2596,1.8,4793,3.2
"Sunderland",275506,100.0,34206,12.4,30346,11.0,210954,76.6,16170,5.9,16201,5.9,148150,53.8,117365,42.6,90557,32.9,43951,16.0,18155,6.6,5478,2.0,242975,88.2,17821,6.5,5089,1.8,9621,3.5
"Blackburn with Darwen",147489,100.0,15563,10.6,14278,9.7,117648,79.8,8415,5.7,8523,5.8,77123,52.3,66991,45.4,49010,33.2,20725,14.1,8428,5.7,2335,1.6,131733,89.3,8769,5.9,2691,1.8,4296,2.9
"Blackpool",142065,100.0,19247,13.5,17084,12.0,105734,74.4,9278,6.5,9143,6.4,71039,50.0,56600,39.8,48022,33.8,23977,16.9,10346,7.3,3120,2.2,125746,88.5,8635,6.1,2592,1.8,5092,3.6
"Cheshire East",370127,100.0,29206,7.9,35625,9.6,305296,82.5,11098,3.0,15896,4.3,206008,55.7,181595,49.1,123065,33.2,47306,12.8,14247,3.8,3914,1.1,330124,89.2,27525,7.4,4454,1.2,8024,2.2
"Cheshire West and Chester",329608,100.0,29098,8.8,31897,9.7,268613,81.5,11961,3.6,14811,4.5,183601,55.7,159777,48.5,108967,33.1,42604,12.9,14259,4.3,4001,1.2,292487,88.7,23941,7.3,4723,1.4,8457,2.6
"Halton",125746,100.0,14556,11.6,12309,9.8,98881,78.6,7370,5.9,6979,5.6,67989,54.1,58684,46.7,39693,31.6,17504,13.9,7732,6.1,2133,1.7,110728,88.1,8009,6.4,2440,1.9,4569,3.6
"Warrington",202228,100.0,16940,8.4,18057,8.9,167231,82.7,7280,3.6,9112,4.5,114871,56.8,100734,49.8,66223,32.7,24446,12.1,8466,4.2,2359,1.2,180385,89.2,13862,6.9,2837,1.4,5144,2.5
"Allerdale",96422,100.0,9718,10.1,10309,10.7,76395,79.2,3955,4.1,4707,4.9,51460,53.4,42887,44.5,33297,34.5,14210,14.7,4762,4.9,1266,1.3,85648,88.8,6632,6.9,1436,1.5,2706,2.8
"Barrow-in-Furness",69087,100.0,8961,13.0,8062,11.7,52064,75.4,4202,6.1,4129,6.0,35510,51.4,29538,42.8,22865,33.1,10898,15.8,4542,6.6,1244,1.8,60842,88.1,4573,6.6,1308,1.9,2364,3.4
"Carlisle",107524,100.0,9919,9.2,10704,10.0,86901,80.8,4459,4.1,5172,4.8,59514,55.3,48593,45.2,37494,34.9,15030,14.0,4964,4.6,1443,1.3,96219,89.5,7233,6.7,1418,1.3,2654,2.5
"Copeland",70603,100.0,7537,10.7,7524,10.7,55542,78.7,3477,4.9,3631,5.1,38151,54.0,31329,44.4,23938,33.9,10516,14.9,3760,5.3,1060,1.5,62622,88.7,4695,6.6,1179,1.7,2107,3.0
"Eden",52564,100.0,4098,7.8,5370,10.2,43096,82.0,1502,2.9,2225,4.2,28720,54.6,24210,46.1,18810,35.8,7195,13.7,1875,3.6,474,0.9,46602,88.7,4208,8.0,620,1.2,1134,2.2
"South Lakeland",103658,100.0,8290,8.0,11229,10.8,84139,81.2,2797,2.7,4404,4.2,55455,53.5,48461,46.8,36385,35.1,14117,13.6,3701,3.6,994,1.0,91430,88.2,8586,8.3,1304,1.3,2338,2.3
"Bolton",276786,100.0,27773,10.0,27140,9.8,221873,80.2,13476,4.9,14913,5.4,148781,53.8,125548,45.4,93765,33.9,39139,14.1,14465,5.2,3869,1.4,246137,88.9,18187,6.6,4525,1.6,7937,2.9
"Bury",185060,100.0,16733,9.0,18088,9.8,150239,81.2,7877,4.3,9424,5.1,101094,54.6,87128,47.1,61634,33.3,25430,13.7,8539,4.6,2329,1.3,165106,89.2,12493,6.8,2746,1.5,4715,2.5
"Manchester",503127,100.0,47353,9.4,42011,8.3,413763,82.2,27026,5.4,26741,5.3,304398,60.5,245334,48.8,159452,31.7,62651,12.5,27014,5.4,8676,1.7,460487,91.5,23109,4.6,7568,1.5,11963,2.4
"Oldham",224897,100.0,22535,10.0,21791,9.7,180571,80.3,11046,4.9,11975,5.3,118464,52.7,101526,45.1,74987,33.3,32778,14.6,12179,5.4,3427,1.5,200575,89.2,14526,6.5,3651,1.6,6145,2.7
"Rochdale",211699,100.0,22630,10.7,21729,10.3,167340,79.0,11836,5.6,12145,5.7,112119,53.0,94233,44.5,70158,33.1,31303,14.8,12453,5.9,3552,1.7,188439,89.0,13550,6.4,3605,1.7,6105,2.9
"Salford",233933,100.0,25709,11.0,22708,9.7,185516,79.3,12902,5.5,12794,5.5,129878,55.5,107689,46.0,75685,32.4,32849,14.0,13741,5.9,3969,1.7,210531,90.0,13228,5.7,3725,1.6,6449,2.8
"Stockport",283275,100.0,24487,8.6,27772,9.8,231016,81.6,10520,3.7,13345,4.7,154930,54.7,135500,47.8,94251,33.3,37601,13.3,12505,4.4,3418,1.2,251293,88.7,21091,7.4,3921,1.4,6970,2.5
"Tameside",219324,100.0,23307,10.6,22624,10.3,173393,79.1,11628,5.3,12313,5.6,118474,54.0,96404,44.0,73918,33.7,33009,15.1,12492,5.7,3501,1.6,195265,89.0,14106,6.4,3594,1.6,6359,2.9
"Trafford",226578,100.0,18165,8.0,20438,9.0,187975,83.0,8037,3.5,9890,4.4,126554,55.9,115496,51.0,71694,31.6,27549,12.2,9273,4.1,2566,1.1,203051,89.6,15653,6.9,2981,1.3,4893,2.2
"Wigan",317849,100.0,34847,11.0,33474,10.5,249528,78.5,16528,5.2,17780,5.6,171868,54.1,144283,45.4,103934,32.7,46797,14.7,18112,5.7,4723,1.5,281345,88.5,21162,6.7,5484,1.7,9858,3.1
"Burnley",87059,100.0,10090,11.6,9517,10.9,67452,77.5,5007,5.8,5203,6.0,45571,52.3,37372,42.9,29286,33.6,13682,15.7,5213,6.0,1506,1.7,77204,88.7,5861,6.7,1379,1.6,2615,3.0
"Chorley",107155,100.0,9626,9.0,10112,9.4,87417,81.6,4228,3.9,5137,4.8,60205,56.2,51303,47.9,35705,33.3,14222,13.3,4623,4.3,1302,1.2,94837,88.5,7937,7.4,1652,1.5,2729,2.5
"Fylde",75757,100.0,7849,10.4,8714,11.5,59194,78.1,2823,3.7,3554,4.7,39037,51.5,33815,44.6,25591,33.8,11619,15.3,3692,4.9,1040,1.4,66570,87.9,5907,7.8,1131,1.5,2149,2.8
"Hyndburn",80734,100.0,9153,11.3,8400,10.4,63181,78.3,4470,5.5,4623,5.7,42190,52.3,34759,43.1,27610,34.2,12225,15.1,4800,5.9,1340,1.7,71811,88.9,5193,6.4,1220,1.5,2510,3.1
"Lancaster",138375,100.0,12751,9.2,14176,10.2,111448,80.5,5286,3.8,6801,4.9,77953,56.3,64577,46.7,46831,33.8,18960,13.7,6215,4.5,1792,1.3,123760,89.4,9261,6.7,1819,1.3,3535,2.6
"Pendle",89452,100.0,9280,10.4,9428,10.5,70744,79.1,4540,5.1,4959,5.5,47279,52.9,38965,43.6,30826,34.5,13431,15.0,4921,5.5,1309,1.5,79206,88.5,6432,7.2,1412,1.6,2402,2.7
"Preston",140202,100.0,12605,9.0,12880,9.2,114717,81.8,6295,4.5,7297,5.2,80584,57.5,65276,46.6,47840,34.1,18585,13.3,6644,4.7,1857,1.3,126063,89.9,8490,6.1,2198,1.6,3451,2.5
"Ribble Valley",57132,100.0,4076,7.1,5470,9.6,47586,83.3,1454,2.5,2253,3.9,31314,54.8,29415,51.5,18376,32.2,7049,12.3,1805,3.2,487,0.9,50591,88.6,4758,8.3,617,1.1,1166,2.0
"Rossendale",67982,100.0,6818,10.0,6692,9.8,54472,80.1,3257,4.8,3611,5.3,37402,55.0,31438,46.2,22508,33.1,9603,14.1,3475,5.1,958,1.4,60348,88.8,4864,7.2,988,1.5,1782,2.6
"South Ribble",109057,100.0,9227,8.5,10409,9.5,89421,82.0,3706,3.4,4970,4.6,61075,56.0,52009,47.7,37211,34.1,14240,13.1,4473,4.1,1124,1.0,96565,88.5,8169,7.5,1558,1.4,2765,2.5
"West Lancashire",110685,100.0,11212,10.1,10926,9.9,88547,80.0,4697,4.2,5179,4.7,59961,54.2,52675,47.6,36226,32.7,14800,13.4,5380,4.9,1604,1.4,97259,87.9,8242,7.4,1812,1.6,3372,3.0
"Wyre",107749,100.0,12656,11.7,12945,12.0,82148,76.2,4553,4.2,5376,5.0,53913,50.0,46601,43.2,36224,33.6,17189,16.0,5944,5.5,1791,1.7,93912,87.2,8263,7.7,1886,1.8,3688,3.4
"Knowsley",145893,100.0,20786,14.2,14965,10.3,110142,75.5,10486,7.2,8222,5.6,75503,51.8,67153,46.0,43505,29.8,21420,14.7,10631,7.3,3184,2.2,128028,87.8,8782,6.0,3207,2.2,5876,4.0
"Liverpool",466415,100.0,59484,12.8,45136,9.7,361795,77.6,31281,6.7,26515,5.7,265053,56.8,217977,46.7,142132,30.5,65422,14.0,31162,6.7,9722,2.1,415853,89.2,26627,5.7,8950,1.9,14985,3.2
"Sefton",273790,100.0,32202,11.8,29859,10.9,211729,77.3,13750,5.0,13895,5.1,141779,51.8,124069,45.3,89115,32.5,40620,14.8,15549,5.7,4437,1.6,239243,87.4,20527,7.5,5014,1.8,9006,3.3
"St. Helens",175308,100.0,21660,12.4,18602,10.6,135046,77.0,9975,5.7,9613,5.5,92384,52.7,78620,44.8,55983,31.9,26198,14.9,11364,6.5,3143,1.8,152717,87.1,12528,7.1,3590,2.0,6473,3.7
"Wirral",319783,100.0,37898,11.9,34306,10.7,247579,77.4,17405,5.4,16925,5.3,165202,51.7,148028,46.3,102085,31.9,45687,14.3,18448,5.8,5535,1.7,279443,87.4,23879,7.5,5768,1.8,10693,3.3
"East Riding of Yorkshire",334179,100.0,29029,8.7,34936,10.5,270214,80.9,10822,3.2,14707,4.4,181349,54.3,151003,45.2,116859,35.0,48307,14.5,13877,4.2,4133,1.2,296811,88.8,24355,7.3,4418,1.3,8595,2.6
"Kingston upon Hull, City of",256406,100.0,25672,10.0,24719,9.6,206015,80.3,12535,4.9,13734,5.4,146040,57.0,110555,43.1,89572,34.9,38102,14.9,14047,5.5,4130,1.6,232770,90.8,12602,4.9,3622,1.4,7412,2.9
"North East Lincolnshire",159616,100.0,14786,9.3,16334,10.2,128496,80.5,6384,4.0,7934,5.0,86772,54.4,70242,44.0,55935,35.0,23779,14.9,7507,4.7,2153,1.3,143623,90.0,9114,5.7,2117,1.3,4762,3.0
"North Lincolnshire",167446,100.0,15333,9.2,16946,10.1,135167,80.7,6408,3.8,8146,4.9,91512,54.7,73234,43.7,59883,35.8,24667,14.7,7593,4.5,2069,1.2,149289,89.2,11092,6.6,2381,1.4,4684,2.8
"York",198051,100.0,13018,6.6,17357,8.8,167676,84.7,4757,2.4,8088,4.1,120015,60.6,98402,49.7,67709,34.2,23752,12.0,6369,3.2,1819,0.9,179827,90.8,12701,6.4,1934,1.0,3589,1.8
"Craven",55409,100.0,4348,7.8,5589,10.1,45472,82.1,1452,2.6,2200,4.0,29899,54.0,26383,47.6,19150,34.6,7387,13.3,1975,3.6,514,0.9,48798,88.1,4759,8.6,674,1.2,1178,2.1
"Hambleton",89140,100.0,6330,7.1,8695,9.8,74115,83.1,2115,2.4,3527,4.0,49156,55.1,43384,48.7,30682,34.4,11235,12.6,2972,3.3,867,1.0,79136,88.8,7175,8.0,957,1.1,1872,2.1
"Harrogate",157869,100.0,10490,6.6,14129,8.9,133250,84.4,3558,2.3,5897,3.7,88687,56.2,79934,50.6,53313,33.8,18633,11.8,4698,3.0,1291,0.8,141681,89.7,11732,7.4,1632,1.0,2824,1.8
"Richmondshire",51965,100.0,3261,6.3,4662,9.0,44042,84.8,1234,2.4,2072,4.0,30316,58.3,26678,51.3,17383,33.5,5988,11.5,1523,2.9,393,0.8,47203,90.8,3281,6.3,564,1.1,917,1.8
"Ryedale",51751,100.0,3881,7.5,5308,10.3,42562,82.2,1329,2.6,2052,4.0,27767,53.7,23555,45.5,18476,35.7,7329,14.2,1846,3.6,545,1.1,45847,88.6,4136,8.0,627,1.2,1141,2.2
"Scarborough",108793,100.0,11369,10.5,13004,12.0,84420,77.6,4537,4.2,5684,5.2,55861,51.3,45241,41.6,38721,35.6,17588,16.2,5712,5.3,1531,1.4,96258,88.5,7663,7.0,1695,1.6,3177,2.9
"Selby",83449,100.0,6020,7.2,7658,9.2,69771,83.6,2309,2.8,3742,4.5,48078,57.6,40351,48.4,28624,34.3,10654,12.8,3008,3.6,812,1.0,74674,89.5,6007,7.2,1041,1.2,1727,2.1
"Barnsley",231221,100.0,29147,12.6,26121,11.3,175953,76.1,13748,5.9,13853,6.0,120724,52.2,96194,41.6,77649,33.6,37956,16.4,15278,6.6,4144,1.8,204054,88.3,15473,6.7,4075,1.8,7619,3.3
"Doncaster",302402,100.0,33644,11.1,31891,10.5,236867,78.3,15425,5.1,16549,5.5,161794,53.5,131738,43.6,102983,34.1,45748,15.1,16982,5.6,4951,1.6,269038,89.0,18918,6.3,5027,1.7,9419,3.1
"Rotherham",257280,100.0,29067,11.3,27521,10.7,200692,78.0,12794,5.0,13969,5.4,136413,53.0,111232,43.2,87237,33.9,39278,15.3,15114,5.9,4419,1.7,226279,88.0,17400,6.8,4736,1.8,8865,3.4
"Sheffield",552698,100.0,50470,9.1,53245,9.6,448983,81.2,21807,3.9,26921,4.9,317588,57.5,258250,46.7,184343,33.4,75733,13.7,26703,4.8,7669,1.4,495325,89.6,35129,6.4,7732,1.4,14512,2.6
"Bradford",522452,100.0,43975,8.4,46552,8.9,431925,82.7,21678,4.1,25845,4.9,283206,54.2,234133,44.8,186031,35.6,71580,13.7,23768,4.5,6940,1.3,471426,90.2,30983,5.9,7738,1.5,12305,2.4
"Calderdale",203826,100.0,16730,8.2,19870,9.7,167226,82.0,7768,3.8,10124,5.0,113281,55.6,94449,46.3,70007,34.3,28091,13.8,8929,4.4,2350,1.2,182457,89.5,14170,7.0,2690,1.3,4509,2.2
"Kirklees",422458,100.0,35694,8.4,39269,9.3,347495,82.3,16729,4.0,20448,4.8,234982,55.6,192366,45.5,147731,35.0,58042,13.7,19030,4.5,5289,1.3,378793,89.7,28118,6.7,5926,1.4,9621,2.3
"Leeds",751485,100.0,59155,7.9,66523,8.9,625807,83.3,27010,3.6,33964,4.5,443420,59.0,361295,48.1,254023,33.8,95515,12.7,31504,4.2,9148,1.2,679887,90.5,45684,6.1,9473,1.3,16441,2.2
"Wakefield",325837,100.0,36939,11.3,34962,10.7,253936,77.9,16799,5.2,18145,5.6,175711,53.9,139288,42.7,110920,34.0,50595,15.5,19507,6.0,5527,1.7,289216,88.8,21166,6.5,5515,1.7,9940,3.1
"Derby",248752,100.0,21984,8.8,24472,9.8,202296,81.3,9898,4.0,12952,5.2,137557,55.3,111837,45.0,87060,35.0,35193,14.1,11413,4.6,3249,1.3,223168,89.7,15682,6.3,3586,1.4,6316,2.5
"Leicester",329839,100.0,27615,8.4,29522,9.0,272702,82.7,14027,4.3,17602,5.3,191715,58.1,148108,44.9,117551,35.6,44278,13.4,14972,4.5,4930,1.5,298874,90.6,17503,5.3,5533,1.7,7929,2.4
"Nottingham",305680,100.0,27699,9.1,27683,9.1,250298,81.9,14299,4.7,16254,5.3,183999,60.2,141038,46.1,103332,33.8,41581,13.6,15063,4.9,4666,1.5,278726,91.2,15211,5.0,4314,1.4,7429,2.4
"Rutland",37369,100.0,2271,6.1,3517,9.4,31581,84.5,724,1.9,1401,3.7,20709,55.4,18828,50.4,12718,34.0,4532,12.1,1008,2.7,283,0.8,33570,89.8,2772,7.4,356,1.0,671,1.8
"Amber Valley",122309,100.0,11554,9.4,13255,10.8,97500,79.7,4642,3.8,6472,5.3,66948,54.7,53826,44.0,42795,35.0,18336,15.0,5810,4.8,1542,1.3,107702,88.1,9510,7.8,1785,1.5,3312,2.7
