"local authority: district / unitary (prior to April 2015)","All usual residents aged 3 and over","English (English or Welsh if in Wales)","Welsh/Cymraeg (in England only)","Other UK language: Total","Other UK language: Gaelic (Irish)","Other UK language: Gaelic (Scottish)","Other UK language: Manx Gaelic","Other UK language: Gaelic (Not otherwise specified)","Other UK language: Cornish","Other UK language: Scots","Other UK language: Gypsy/Traveller languages","French","Portuguese","Spanish","Other European Language (EU): Total","Other European Language (EU): Italian","Other European Language (EU): German","Other European Language (EU): Polish","Other European Language (EU): Slovak","Other European Language (EU): Czech","Other European Language (EU): Romanian","Other European Language (EU): Lithuanian","Other European Language (EU): Latvian","Other European Language (EU): Hungarian","Other European Language (EU): Bulgarian","Other European Language (EU): Greek","Other European Language (EU): Dutch","Other European Language (EU): Swedish","Other European Language (EU): Danish","Other European Language (EU): Finnish","Other European Language (EU): Estonian","Other European Language (EU): Slovenian","Other European Language (EU): Maltese","Other European Language (EU): Any other European Language (EU)","Other European Language (non EU): Total","Other European Language (non EU): Albanian","Other European Language (non EU): Serbian/Croatian/Bosnian","Other European Language (non EU): Ukrainian","Other European Language (non EU): Any other Eastern European Language (non EU)","Other European Language (non EU): Northern European Language (non EU)","Other European Language (non-national): Total","Other European Language (non-national): Romani language (any)","Other European Language (non-national): Yiddish","Russian","Turkish","Arabic","West/Central Asian Language: Total","West/Central Asian Language: Hebrew","West/Central Asian Language: Kurdish","West/Central Asian Language: Persian/Farsi","West/Central Asian Language: Pashto","West/Central Asian Language: West/Central Asian Language (all other)","South Asian Language: Total","South Asian Language: Urdu","South Asian Language: Hindi","South Asian Language: Panjabi","South Asian Language: Pakistani Pahari (with Mirpuri and Potwari)","South Asian Language: Bengali (with Sylheti and Chatgaya)","South Asian Language: Gujarati","South Asian Language: Marathi","South Asian Language: Telugu","South Asian Language: Tamil","South Asian Language: Malayalam","South Asian Language: Sinhala","South Asian Language: Nepalese","South Asian Language: South Asian Language (all other)","East Asian Language: Total","East Asian Language: Mandarin Chinese","East Asian Language: Cantonese Chinese","East Asian Language: All other Chinese","East Asian Language: Japanese","East Asian Language: Korean","East Asian Language: Vietnamese","East Asian Language: Thai","East Asian Language: Malay","East Asian Language: Tagalog/Filipino","East Asian Language: East Asian Language (all other)","Oceanic/Australian language (any)","North/South American language (any)","Caribbean Creole: Total","Caribbean Creole: Caribbean Creole (English-based)","Caribbean Creole: Caribbean Creole (all other)","African Language: Total","African Language: Amharic","African Language: Tigrinya","African Language: Somali","African Language: Krio","African Language: Akan","African Language: Yoruba","African Language: Igbo","African Language: Swahili/Kiswahili","African Language: Luganda","African Language: Lingala","African Language: Shona","African Language: Afrikaans","African Language: Any other Nigerian language","African Language: West African language (all other)","African Language: African language (all other)","Other Languages: Total","Other Languages: All other languages","Sign Language: Total","Sign Language: British sign language","Sign Language: Sign Language (all other)","Sign Language: Any Sign Communication System"

"Darlington",101547,98892,5,4,0,2,0,0,0,2,0,33,13,33,1308,37,57,854,17,52,91,100,6,20,16,8,23,16,6,2,1,0,2,0,7,0,5,1,0,1,1,1,0,40,33,85,98,1,52,31,9,5,594,35,21,126,0,252,9,5,6,40,40,1,51,8,306,18,39,112,8,4,10,38,8,62,7,2,0,1,1,0,37,0,1,0,0,0,4,0,0,0,2,9,3,0,2,16,17,17,38,31,4,3
"County Durham",496111,488753,26,36,7,0,0,2,0,26,1,263,96,205,3160,195,395,1653,67,37,88,212,13,70,50,121,103,63,37,12,15,3,15,11,71,8,7,12,2,42,0,0,0,135,181,437,174,1,29,123,3,18,704,108,71,184,0,112,21,6,27,42,71,22,3,37,1576,112,195,722,67,38,15,162,108,127,30,0,2,1,1,0,100,3,1,1,0,1,12,2,9,0,0,2,25,1,8,35,41,41,150,112,10,28
"Hartlepool",88600,87345,3,5,0,0,0,0,0,5,0,19,4,20,426,7,20,301,8,8,8,11,23,27,1,2,6,2,0,1,0,1,0,0,12,0,4,0,0,8,0,0,0,10,16,40,50,1,11,20,13,5,318,73,13,45,15,119,3,2,10,28,8,2,0,0,237,16,19,91,3,5,0,24,3,59,17,3,0,0,0,0,47,1,5,8,0,0,1,0,2,0,0,15,6,1,6,2,4,4,41,36,4,1
"Middlesbrough",132671,125489,3,6,0,0,0,0,0,6,0,143,43,53,1423,67,56,582,82,269,44,119,32,40,5,76,23,6,7,3,2,4,6,0,86,30,6,2,1,47,0,0,0,68,41,793,733,0,351,202,161,19,2534,882,78,916,85,120,15,15,42,179,109,26,39,28,792,81,60,477,6,14,9,67,19,41,18,1,0,0,0,0,347,20,31,32,2,16,9,12,21,1,13,43,16,17,18,96,35,35,81,54,22,5
"Northumberland",306525,303498,19,23,0,0,0,7,0,16,0,89,82,110,1241,45,136,597,16,17,53,114,53,19,16,16,71,28,30,10,4,0,13,3,48,4,5,11,2,26,0,0,0,72,65,59,47,2,16,23,3,3,545,67,20,168,0,161,5,3,19,17,73,1,7,4,483,14,55,140,20,6,7,72,6,154,9,1,0,1,1,0,50,3,2,4,1,0,3,0,3,0,1,0,20,3,2,8,15,15,77,42,8,27
"Redcar and Cleveland",130641,129666,8,10,2,0,0,3,0,4,1,43,12,29,315,14,31,132,3,5,31,14,6,16,2,21,23,2,4,4,1,0,5,1,26,21,2,0,1,2,0,0,0,38,33,30,32,2,17,9,2,2,176,50,5,49,5,35,3,0,1,23,2,1,2,0,154,10,21,44,6,0,4,24,4,38,3,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,1,0,1,2,10,10,47,33,9,5
"Stockton-on-Tees",184166,180089,4,19,6,0,0,3,0,9,1,79,41,89,775,39,58,354,23,65,68,21,30,14,12,24,35,14,7,1,3,0,4,3,32,3,7,7,0,15,0,0,0,35,28,175,297,2,123,128,23,21,1437,477,41,602,17,81,29,13,27,71,28,16,3,32,782,67,91,296,17,30,13,45,17,190,16,0,0,1,1,0,197,4,10,2,0,2,6,6,15,2,6,53,12,5,16,58,10,10,76,63,13,0
"Gateshead",192889,187319,11,17,4,0,0,2,0,11,0,224,131,92,1898,115,117,1096,57,98,84,58,28,49,82,36,41,9,11,6,4,0,4,3,108,55,29,2,2,20,2,1,1,130,93,265,689,30,338,292,18,11,652,153,56,123,5,133,4,18,8,73,49,11,8,11,921,48,156,418,25,9,4,52,18,172,19,1,0,1,1,0,224,22,49,6,0,0,4,14,15,1,14,34,8,3,11,43,21,21,90,78,4,8
"Newcastle upon Tyne",269980,244445,19,29,7,1,1,2,0,15,3,746,515,421,4481,282,388,1374,420,497,206,241,70,89,128,457,106,75,41,33,15,11,14,34,327,49,183,17,6,72,3,3,0,375,269,2374,1795,8,432,1029,224,102,6917,1461,395,954,121,2477,114,33,295,308,267,196,171,125,6115,381,716,3186,156,117,199,272,474,503,111,2,0,1,1,0,927,74,101,40,3,10,36,37,93,6,61,134,13,110,39,170,95,95,124,103,9,12
