district,total,%,No qualifications,%,Highest level of qualification: Level 1 qualifications,%,Highest level of qualification: Level 2 qualifications,%,Highest level of qualification: Apprenticeship,%,Highest level of qualification: Level 3 qualifications,%,Highest level of qualification: Level 4 qualifications and above,%,Highest level of qualification: Other qualifications,%,Schoolchildren and full-time students: Age 16 to 17,%,Schoolchildren and full-time students: Age 18 and over,%,Full-time students: Age 18 to 74: Economically active: In employment,%,Full-time students: Age 18 to 74: Economically active: Unemployed,%,Full-time students: Age 18 to 74: Economically inactive,%
,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,85357,100,21179,24.8,11445,13.4,13568,15.9,4350,5.1,10883,12.7,20244,23.7,3688,4.3,2337,2.7,2247,2.6,992,1.2,181,0.2,1065,1.2
County Durham,425258,100,116948,27.5,57032,13.4,67905,16,17694,4.2,57957,13.6,91249,21.5,16473,3.9,10456,2.5,23152,5.4,6408,1.5,1249,0.3,15413,3.6
Hartlepool,74228,100,22758,30.7,10057,13.5,11992,16.2,4076,5.5,9276,12.5,13063,17.6,3006,4,2342,3.2,2376,3.2,864,1.2,289,0.4,1209,1.6
Middlesbrough,110409,100,33002,29.9,15053,13.6,16891,15.3,4874,4.4,14542,13.2,20472,18.5,5575,5,3246,2.9,8375,7.6,2528,2.3,1044,0.9,4784,4.3
Northumberland,262162,100,62584,23.9,35791,13.7,43363,16.5,11823,4.5,31650,12.1,67024,25.6,9927,3.8,6585,2.5,6371,2.4,2749,1,492,0.2,3081,1.2
Redcar and Cleveland,111011,100,31550,28.4,14947,13.5,18225,16.4,6366,5.7,14572,13.1,21013,18.9,4338,3.9,3097,2.8,3324,3,1305,1.2,328,0.3,1678,1.5
Stockton-on-Tees,154503,100,36728,23.8,21465,13.9,26049,16.9,8085,5.2,20952,13.6,35250,22.8,5974,3.9,4488,2.9,6752,4.4,2379,1.5,592,0.4,3762,2.4
Gateshead,164716,100,46192,28,23592,14.3,25601,15.5,8563,5.2,18611,11.3,35409,21.5,6748,4.1,4176,2.5,6373,3.9,2340,1.4,489,0.3,3505,2.1
Newcastle upon Tyne,232203,100,54885,23.6,26240,11.3,29055,12.5,7928,3.4,39659,17.1,63073,27.2,11363,4.9,5360,2.3,37730,16.2,9736,4.2,3358,1.4,24572,10.6
North Tyneside,165088,100,39157,23.7,23183,14,26536,16.1,8685,5.3,19623,11.9,41734,25.3,6170,3.7,4028,2.4,5196,3.1,2409,1.5,419,0.3,2345,1.4
South Tyneside,122200,100,34189,28,17799,14.6,19806,16.2,7473,6.1,14679,12,23514,19.2,4740,3.9,3172,2.6,4501,3.7,1878,1.5,486,0.4,2119,1.7
Sunderland,227314,100,66036,29.1,35248,15.5,36935,16.2,11411,5,27289,12,41337,18.2,9058,4,5704,2.5,11658,5.1,4087,1.8,1316,0.6,6232,2.7
Blackburn with Darwen,113122,100,32485,28.7,16211,14.3,17221,15.2,4428,3.9,12923,11.4,22416,19.8,7438,6.6,3834,3.4,5306,4.7,1874,1.7,588,0.5,2822,2.5
Blackpool,116699,100,36559,31.3,18129,15.5,19993,17.1,4886,4.2,13546,11.6,18098,15.5,5488,4.7,2942,2.5,3903,3.3,1733,1.5,429,0.4,1723,1.5
Cheshire East,304374,100,59806,19.6,36823,12.1,48576,16,12395,4.1,37854,12.4,97248,32,11672,3.8,8284,2.7,10298,3.4,4154,1.4,769,0.3,5332,1.8
Cheshire West and Chester,271473,100,56940,21,36010,13.3,42655,15.7,10727,4,35042,12.9,79712,29.4,10387,3.8,7048,2.6,11532,4.2,4697,1.7,943,0.3,5853,2.2
Halton,100819,100,27126,26.9,16975,16.8,18702,18.6,3839,3.8,12618,12.5,17792,17.6,3767,3.7,2920,2.9,3327,3.3,1351,1.3,330,0.3,1624,1.6
Warrington,163477,100,33815,20.7,23846,14.6,27000,16.5,6699,4.1,20593,12.6,44870,27.4,6654,4.1,4638,2.8,5194,3.2,2447,1.5,424,0.3,2294,1.4
