"local authority: district / unitary (prior to April 2015)","All usual residents aged 16 to 74 in employment the week before the census","%","Part-time: 15 hours or less worked","%","Part-time: 16 to 30 hours worked","%","Full-time: 31 to 48 hours worked","%","Full-time: 49 or more hours worked","%","Males: Total","%","Males: Part-time: 15 hours or less worked","%","Males: Part-time: 16 to 30 hours worked","%","Males: Full-time: 31 to 48 hours worked","%","Males: Full-time: 49 or more hours worked","%","Females: Total","%","Females: Part-time: 15 hours or less worked","%","Females: Part-time: 16 to 30 hours worked","%","Females: Full-time: 31 to 48 hours worked","%","Females: Full-time: 49 or more hours worked","%"

"Darlington",49014,100.0,4093,8.4,10240,20.9,29280,59.7,5401,11.0,25264,51.5,1259,2.6,2344,4.8,17463,35.6,4198,8.6,23750,48.5,2834,5.8,7896,16.1,11817,24.1,1203,2.5
"County Durham",227894,100.0,18785,8.2,45205,19.8,138621,60.8,25283,11.1,118472,52.0,6031,2.6,10744,4.7,82190,36.1,19507,8.6,109422,48.0,12754,5.6,34461,15.1,56431,24.8,5776,2.5
"Hartlepool",37767,100.0,3247,8.6,8939,23.7,21662,57.4,3919,10.4,19511,51.7,934,2.5,2054,5.4,13333,35.3,3190,8.4,18256,48.3,2313,6.1,6885,18.2,8329,22.1,729,1.9
"Middlesbrough",54547,100.0,5716,10.5,13450,24.7,30267,55.5,5114,9.4,28197,51.7,1884,3.5,3631,6.7,18490,33.9,4192,7.7,26350,48.3,3832,7.0,9819,18.0,11777,21.6,922,1.7
"Northumberland",146901,100.0,13206,9.0,30630,20.9,84010,57.2,19055,13.0,75848,51.6,3951,2.7,7090,4.8,49784,33.9,15023,10.2,71053,48.4,9255,6.3,23540,16.0,34226,23.3,4032,2.7
"Redcar and Cleveland",56354,100.0,5508,9.8,13011,23.1,31673,56.2,6162,10.9,28719,51.0,1523,2.7,2690,4.8,19463,34.5,5043,8.9,27635,49.0,3985,7.1,10321,18.3,12210,21.7,1119,2.0
"Stockton-on-Tees",87122,100.0,7656,8.8,19523,22.4,50548,58.0,9395,10.8,44908,51.5,2270,2.6,4466,5.1,30554,35.1,7618,8.7,42214,48.5,5386,6.2,15057,17.3,19994,22.9,1777,2.0
"Gateshead",91877,100.0,6865,7.5,19036,20.7,57288,62.4,8688,9.5,47337,51.5,2143,2.3,4574,5.0,34020,37.0,6600,7.2,44540,48.5,4722,5.1,14462,15.7,23268,25.3,2088,2.3
"Newcastle upon Tyne",119335,100.0,13321,11.2,25442,21.3,68307,57.2,12265,10.3,62768,52.6,5175,4.3,8142,6.8,40373,33.8,9078,7.6,56567,47.4,8146,6.8,17300,14.5,27934,23.4,3187,2.7
"North Tyneside",96026,100.0,7344,7.6,19754,20.6,59032,61.5,9896,10.3,48859,50.9,2370,2.5,4530,4.7,34380,35.8,7579,7.9,47167,49.1,4974,5.2,15224,15.9,24652,25.7,2317,2.4
"South Tyneside",64622,100.0,4918,7.6,13908,21.5,38645,59.8,7151,11.1,33531,51.9,1528,2.4,3228,5.0,22904,35.4,5871,9.1,31091,48.1,3390,5.2,10680,16.5,15741,24.4,1280,2.0
"Sunderland",121511,100.0,9688,8.0,26933,22.2,74114,61.0,10776,8.9,62514,51.4,3169,2.6,6711,5.5,44167,36.3,8467,7.0,58997,48.6,6519,5.4,20222,16.6,29947,24.6,2309,1.9
"Blackburn with Darwen",60523,100.0,5133,8.5,13869,22.9,36410,60.2,5111,8.4,33440,55.3,1954,3.2,5347,8.8,22251,36.8,3888,6.4,27083,44.7,3179,5.3,8522,14.1,14159,23.4,1223,2.0
"Blackpool",61419,100.0,5065,8.2,14452,23.5,35389,57.6,6513,10.6,31451,51.2,1977,3.2,4129,6.7,20579,33.5,4766,7.8,29968,48.8,3088,5.0,10323,16.8,14810,24.1,1747,2.8
"Cheshire East",181136,100.0,18003,9.9,35081,19.4,102292,56.5,25760,14.2,95118,52.5,5429,3.0,8432,4.7,61313,33.8,19944,11.0,86018,47.5,12574,6.9,26649,14.7,40979,22.6,5816,3.2
"Cheshire West and Chester",160138,100.0,15902,9.9,32408,20.2,91529,57.2,20299,12.7,83031,51.8,4720,2.9,7416,4.6,55146,34.4,15749,9.8,77107,48.2,11182,7.0,24992,15.6,36383,22.7,4550,2.8
"Halton",57577,100.0,4464,7.8,11587,20.1,35764,62.1,5762,10.0,29843,51.8,1397,2.4,2456,4.3,21393,37.2,4597,8.0,27734,48.2,3067,5.3,9131,15.9,14371,25.0,1165,2.0
"Warrington",100856,100.0,8612,8.5,19513,19.3,61133,60.6,11598,11.5,52424,52.0,2696,2.7,4391,4.4,36275,36.0,9062,9.0,48432,48.0,5916,5.9,15122,15.0,24858,24.6,2536,2.5
"Allerdale",46076,100.0,4235,9.2,10308,22.4,25665,55.7,5868,12.7,24175,52.5,1166,2.5,2097,4.6,16357,35.5,4555,9.9,21901,47.5,3069,6.7,8211,17.8,9308,20.2,1313,2.8
"Barrow-in-Furness",31257,100.0,3088,9.9,7128,22.8,18761,60.0,2280,7.3,16552,53.0,833,2.7,1407,4.5,12498,40.0,1814,5.8,14705,47.0,2255,7.2,5721,18.3,6263,20.0,466,1.5
"Carlisle",53874,100.0,5194,9.6,11751,21.8,29827,55.4,7102,13.2,28277,52.5,1532,2.8,2520,4.7,18474,34.3,5751,10.7,25597,47.5,3662,6.8,9231,17.1,11353,21.1,1351,2.5
"Copeland",32891,100.0,2731,8.3,6704,20.4,20406,62.0,3050,9.3,17546,53.3,698,2.1,1280,3.9,13196,40.1,2372,7.2,15345,46.7,2033,6.2,5424,16.5,7210,21.9,678,2.1
"Eden",27461,100.0,3006,10.9,5689,20.7,13152,47.9,5614,20.4,14525,52.9,802,2.9,1265,4.6,7962,29.0,4496,16.4,12936,47.1,2204,8.0,4424,16.1,5190,18.9,1118,4.1
