
"KS104EW - Living arrangements"
"ONS Crown Copyright Reserved [from Nomis on 14 April 2017]"
"Population :","All usual residents aged 16 and over in households"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"local authority: district / unitary (prior to April 2015)","All categories: Living arrangements","%","Living in couple","%","Living in a couple: Married or in a registered same-sex civil partnership","%","Living in a couple: Cohabiting","%","Not living in couple","%","Not living in a couple: Single (never married or never registered a same-sex civil partnership)","%","Not living in a couple: Married or in a registered same-sex civil partnership","%","Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)","%","Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved","%","Not living in a couple: Widowed or surviving partner from a same-sex civil partnership","%"

"Darlington",83954,100.0,49614,59.1,38963,46.4,10651,12.7,34340,40.9,19424,23.1,730,0.9,1942,2.3,6564,7.8,5680,6.8
"County Durham",412617,100.0,244235,59.2,195620,47.4,48615,11.8,168382,40.8,97195,23.6,3540,0.9,8597,2.1,29133,7.1,29917,7.3
"Hartlepool",73296,100.0,41615,56.8,32334,44.1,9281,12.7,31681,43.2,18753,25.6,599,0.8,1494,2.0,5428,7.4,5407,7.4
"Middlesbrough",108161,100.0,56375,52.1,43816,40.5,12559,11.6,51786,47.9,32968,30.5,1396,1.3,2469,2.3,7441,6.9,7512,6.9
"Northumberland",256897,100.0,162592,63.3,133155,51.8,29437,11.5,94305,36.7,51272,20.0,2374,0.9,5305,2.1,16570,6.5,18784,7.3
"Redcar and Cleveland",109763,100.0,64735,59.0,51528,46.9,13207,12.0,45028,41.0,25849,23.5,823,0.7,2130,1.9,7901,7.2,8325,7.6
"Stockton-on-Tees",150859,100.0,90549,60.0,71209,47.2,19340,12.8,60310,40.0,36116,23.9,1436,1.0,3136,2.1,9964,6.6,9658,6.4
"Gateshead",162253,100.0,92676,57.1,71136,43.8,21540,13.3,69577,42.9,41422,25.5,1581,1.0,3595,2.2,11270,6.9,11709,7.2
"Newcastle upon Tyne",223319,100.0,105633,47.3,80388,36.0,25245,11.3,117686,52.7,82140,36.8,3115,1.4,4709,2.1,14168,6.3,13554,6.1
"North Tyneside",163435,100.0,95366,58.4,75058,45.9,20308,12.4,68069,41.6,38774,23.7,1387,0.8,3824,2.3,12220,7.5,11864,7.3
"South Tyneside",120807,100.0,64897,53.7,51904,43.0,12993,10.8,55910,46.3,32293,26.7,1223,1.0,2927,2.4,9741,8.1,9726,8.1
"Sunderland",223722,100.0,126019,56.3,99934,44.7,26085,11.7,97703,43.7,59521,26.6,1831,0.8,4554,2.0,15337,6.9,16460,7.4
"Blackburn with Darwen",111628,100.0,63490,56.9,51277,45.9,12213,10.9,48138,43.1,29039,26.0,2060,1.8,2831,2.5,7516,6.7,6692,6.0
"Blackpool",112758,100.0,58738,52.1,43184,38.3,15554,13.8,54020,47.9,29900,26.5,1102,1.0,2921,2.6,11160,9.9,8937,7.9
"Cheshire East",299338,100.0,189231,63.2,154967,51.8,34264,11.4,110107,36.8,61977,20.7,2738,0.9,5267,1.8,19571,6.5,20554,6.9
"Cheshire West and Chester",268208,100.0,163364,60.9,132646,49.5,30718,11.5,104844,39.1,61625,23.0,2292,0.9,4478,1.7,17952,6.7,18497,6.9
"Halton",99953,100.0,56905,56.9,44282,44.3,12623,12.6,43048,43.1,26260,26.3,781,0.8,2036,2.0,7301,7.3,6670,6.7
"Warrington",160091,100.0,99168,61.9,79402,49.6,19766,12.3,60923,38.1,35935,22.4,1306,0.8,2996,1.9,10694,6.7,9992,6.2
"Allerdale",78768,100.0,48903,62.1,40486,51.4,8417,10.7,29865,37.9,16614,21.1,721,0.9,1256,1.6,5136,6.5,6138,7.8
"Barrow-in-Furness",56110,100.0,32639,58.2,25880,46.1,6759,12.0,23471,41.8,13152,23.4,487,0.9,1059,1.9,4521,8.1,4252,7.6
"Carlisle",87721,100.0,51537,58.8,41088,46.8,10449,11.9,36184,41.2,21006,23.9,787,0.9,1823,2.1,6114,7.0,6454,7.4
