"local authority: district / unitary (prior to April 2015)","All households","%","Owned","%","Owned: Owned outright","%","Owned: Owned with a mortgage or loan","%","Shared ownership (part owned and part rented)","%","Social rented","%","Social rented: Rented from council (Local Authority)","%","Social rented: Other","%","Private rented","%","Private rented: Private landlord or letting agency","%","Private rented: Other","%","Living rent free","%"

"Darlington",46670,100.0,30289,64.9,13810,29.6,16479,35.3,178,0.4,7228,15.5,5238,11.2,1990,4.3,8513,18.2,7758,16.6,755,1.6,462,1.0
"County Durham",223803,100.0,147347,65.8,69435,31.0,77912,34.8,488,0.2,45004,20.1,28559,12.8,16445,7.3,28142,12.6,25498,11.4,2644,1.2,2822,1.3
"Hartlepool",40434,100.0,24194,59.8,11090,27.4,13104,32.4,200,0.5,9515,23.5,4016,9.9,5499,13.6,5971,14.8,5525,13.7,446,1.1,554,1.4
"Middlesbrough",57203,100.0,32723,57.2,15200,26.6,17523,30.6,336,0.6,13654,23.9,6049,10.6,7605,13.3,9509,16.6,8648,15.1,861,1.5,981,1.7
"Northumberland",138534,100.0,91207,65.8,46086,33.3,45121,32.6,510,0.4,25841,18.7,14820,10.7,11021,8.0,18417,13.3,16225,11.7,2192,1.6,2559,1.8
"Redcar and Cleveland",59605,100.0,39705,66.6,19806,33.2,19899,33.4,256,0.4,11568,19.4,5999,10.1,5569,9.3,7434,12.5,6698,11.2,736,1.2,642,1.1
"Stockton-on-Tees",79159,100.0,54225,68.5,23285,29.4,30940,39.1,255,0.3,13625,17.2,7285,9.2,6340,8.0,10387,13.1,9417,11.9,970,1.2,667,0.8
"Gateshead",89154,100.0,51915,58.2,23081,25.9,28834,32.3,363,0.4,24941,28.0,19985,22.4,4956,5.6,11125,12.5,10130,11.4,995,1.1,810,0.9
"Newcastle upon Tyne",117153,100.0,57955,49.5,26258,22.4,31697,27.1,489,0.4,34850,29.7,27340,23.3,7510,6.4,22318,19.1,20462,17.5,1856,1.6,1541,1.3
"North Tyneside",91295,100.0,59136,64.8,25611,28.1,33525,36.7,374,0.4,19677,21.6,14610,16.0,5067,5.6,11300,12.4,10146,11.1,1154,1.3,808,0.9
"South Tyneside",67167,100.0,38333,57.1,17003,25.3,21330,31.8,297,0.4,21204,31.6,16967,25.3,4237,6.3,6758,10.1,6040,9.0,718,1.1,575,0.9
"Sunderland",119758,100.0,71566,59.8,32419,27.1,39147,32.7,352,0.3,32399,27.1,16725,14.0,15674,13.1,14552,12.2,13077,10.9,1475,1.2,889,0.7
"Blackburn with Darwen",57353,100.0,36793,64.2,18039,31.5,18754,32.7,290,0.5,10391,18.1,3228,5.6,7163,12.5,8993,15.7,8113,14.1,880,1.5,886,1.5
"Blackpool",64367,100.0,39650,61.6,19318,30.0,20332,31.6,239,0.4,6999,10.9,4823,7.5,2176,3.4,16770,26.1,15549,24.2,1221,1.9,709,1.1
"Cheshire East",159441,100.0,118766,74.5,59846,37.5,58920,37.0,779,0.5,18141,11.4,4285,2.7,13856,8.7,19938,12.5,18244,11.4,1694,1.1,1817,1.1
"Cheshire West and Chester",141442,100.0,100105,70.8,49129,34.7,50976,36.0,1088,0.8,20808,14.7,10482,7.4,10326,7.3,17734,12.5,16021,11.3,1713,1.2,1707,1.2
"Halton",53312,100.0,33796,63.4,14436,27.1,19360,36.3,322,0.6,13441,25.2,2502,4.7,10939,20.5,5212,9.8,4752,8.9,460,0.9,541,1.0
"Warrington",85140,100.0,60915,71.5,27206,32.0,33709,39.6,637,0.7,13318,15.6,6147,7.2,7171,8.4,9549,11.2,8683,10.2,866,1.0,721,0.8
"Allerdale",42345,100.0,29217,69.0,16686,39.4,12531,29.6,200,0.5,8088,19.1,1123,2.7,6965,16.4,4142,9.8,3595,8.5,547,1.3,698,1.6
"Barrow-in-Furness",31224,100.0,22938,73.5,11423,36.6,11515,36.9,36,0.1,3454,11.1,2704,8.7,750,2.4,4442,14.2,4005,12.8,437,1.4,354,1.1
"Carlisle",48342,100.0,32999,68.3,16754,34.7,16245,33.6,332,0.7,7394,15.3,1283,2.7,6111,12.6,6914,14.3,6221,12.9,693,1.4,703,1.5
"Copeland",30536,100.0,21671,71.0,11315,37.1,10356,33.9,96,0.3,5668,18.6,2172,7.1,3496,11.4,2665,8.7,2315,7.6,350,1.1,436,1.4
"Eden",23043,100.0,16258,70.6,10048,43.6,6210,26.9,211,0.9,2321,10.1,307,1.3,2014,8.7,3685,16.0,3216,14.0,469,2.0,568,2.5
"South Lakeland",46552,100.0,33967,73.0,20793,44.7,13174,28.3,231,0.5,4853,10.4,3172,6.8,1681,3.6,6633,14.2,5831,12.5,802,1.7,868,1.9
"Bolton",116371,100.0,74170,63.7,35378,30.4,38792,33.3,605,0.5,23825,20.5,16575,14.2,7250,6.2,15930,13.7,14555,12.5,1375,1.2,1841,1.6
"Bury",78113,100.0,54395,69.6,24839,31.8,29556,37.8,247,0.3,11703,15.0,7314,9.4,4389,5.6,10774,13.8,9859,12.6,915,1.2,994,1.3
"Manchester",204969,100.0,77395,37.8,31145,15.2,46250,22.6,1481,0.7,64682,31.6,27585,13.5,37097,18.1,58170,28.4,55043,26.9,3127,1.5,3241,1.6
"Oldham",89703,100.0,58259,64.9,27193,30.3,31066,34.6,352,0.4,18918,21.1,8708,9.7,10210,11.4,10944,12.2,9676,10.8,1268,1.4,1230,1.4
"Rochdale",87552,100.0,54149,61.8,24334,27.8,29815,34.1,340,0.4,20247,23.1,13671,15.6,6576,7.5,11556,13.2,10511,12.0,1045,1.2,1260,1.4
"Salford",103556,100.0,52126,50.3,22603,21.8,29523,28.5,508,0.5,29819,28.8,18461,17.8,11358,11.0,19420,18.8,18224,17.6,1196,1.2,1683,1.6
"Stockport",121979,100.0,89316,73.2,42761,35.1,46555,38.2,987,0.8,16620,13.6,10577,8.7,6043,5.0,13852,11.4,12631,10.4,1221,1.0,1204,1.0
"Tameside",94953,100.0,60558,63.8,26688,28.1,33870,35.7,309,0.3,20438,21.5,4953,5.2,15485,16.3,12573,13.2,11345,11.9,1228,1.3,1075,1.1
"Trafford",94484,100.0,65440,69.3,30322,32.1,35118,37.2,570,0.6,15485,16.4,4373,4.6,11112,11.8,12001,12.7,11173,11.8,828,0.9,988,1.0
"Wigan",136386,100.0,92559,67.9,42446,31.1,50113,36.7,331,0.2,25803,18.9,22152,16.2,3651,2.7,15875,11.6,14550,10.7,1325,1.0,1818,1.3
"Burnley",37550,100.0,24408,65.0,11815,31.5,12593,33.5,79,0.2,5281,14.1,1418,3.8,3863,10.3,7267,19.4,6664,17.7,603,1.6,515,1.4
"Chorley",44919,100.0,33783,75.2,15906,35.4,17877,39.8,283,0.6,5843,13.0,1376,3.1,4467,9.9,4587,10.2,4066,9.1,521,1.2,423,0.9
"Fylde",34885,100.0,25622,73.4,14214,40.7,11408,32.7,135,0.4,2607,7.5,499,1.4,2108,6.0,6066,17.4,5411,15.5,655,1.9,455,1.3
"Hyndburn",34341,100.0,23238,67.7,11464,33.4,11774,34.3,84,0.2,4389,12.8,1367,4.0,3022,8.8,6235,18.2,5711,16.6,524,1.5,395,1.2
"Lancaster",57822,100.0,39999,69.2,20890,36.1,19109,33.0,367,0.6,5762,10.0,3629,6.3,2133,3.7,10929,18.9,9915,17.1,1014,1.8,765,1.3
"Pendle",37348,100.0,25580,68.5,13435,36.0,12145,32.5,73,0.2,4333,11.6,2104,5.6,2229,6.0,6760,18.1,6192,16.6,568,1.5,602,1.6
"Preston",57567,100.0,34909,60.6,16355,28.4,18554,32.2,397,0.7,11061,19.2,2259,3.9,8802,15.3,10365,18.0,9540,16.6,825,1.4,835,1.5
"Ribble Valley",24045,100.0,18423,76.6,10086,41.9,8337,34.7,145,0.6,1836,7.6,365,1.5,1471,6.1,3278,13.6,2830,11.8,448,1.9,363,1.5
"Rossendale",29058,100.0,20250,69.7,9160,31.5,11090,38.2,87,0.3,4244,14.6,1416,4.9,2828,9.7,4106,14.1,3683,12.7,423,1.5,371,1.3
"South Ribble",46102,100.0,36337,78.8,17189,37.3,19148,41.5,215,0.5,4845,10.5,353,0.8,4492,9.7,4308,9.3,3845,8.3,463,1.0,397,0.9
"West Lancashire",45381,100.0,33122,73.0,16272,35.9,16850,37.1,271,0.6,6656,14.7,5711,12.6,945,2.1,4744,10.5,4263,9.4,481,1.1,588,1.3
"Wyre",47281,100.0,36676,77.6,20423,43.2,16253,34.4,246,0.5,3401,7.2,522,1.1,2879,6.1,6397,13.5,5791,12.2,606,1.3,561,1.2
"Knowsley",61323,100.0,37896,61.8,16032,26.1,21864,35.7,314,0.5,16333,26.6,7479,12.2,8854,14.4,5980,9.8,5488,8.9,492,0.8,800,1.3
"Liverpool",206515,100.0,96947,46.9,43803,21.2,53144,25.7,1096,0.5,57485,27.8,9868,4.8,47617,23.1,48290,23.4,44912,21.7,3378,1.6,2697,1.3
"Sefton",117930,100.0,83137,70.5,42334,35.9,40803,34.6,664,0.6,17063,14.5,4911,4.2,12152,10.3,15804,13.4,14552,12.3,1252,1.1,1262,1.1
"St. Helens",75736,100.0,50952,67.3,25215,33.3,25737,34.0,427,0.6,15597,20.6,4590,6.1,11007,14.5,7736,10.2,7056,9.3,680,0.9,1024,1.4
"Wirral",140583,100.0,94843,67.5,46806,33.3,48037,34.2,713,0.5,21329,15.2,7266,5.2,14063,10.0,22275,15.8,20636,14.7,1639,1.2,1423,1.0
"East Riding of Yorkshire",143032,100.0,107706,75.3,56140,39.2,51566,36.1,433,0.3,13028,9.1,10453,7.3,2575,1.8,19648,13.7,17760,12.4,1888,1.3,2217,1.6
"Kingston upon Hull, City of",112596,100.0,55785,49.5,22355,19.9,33430,29.7,505,0.4,31634,28.1,23838,21.2,7796,6.9,22984,20.4,21414,19.0,1570,1.4,1688,1.5
"North East Lincolnshire",69707,100.0,46070,66.1,21497,30.8,24573,35.3,213,0.3,10091,14.5,3293,4.7,6798,9.8,12627,18.1,11594,16.6,1033,1.5,706,1.0
"North Lincolnshire",70684,100.0,49137,69.5,23355,33.0,25782,36.5,179,0.3,10895,15.4,4852,6.9,6043,8.5,9477,13.4,8493,12.0,984,1.4,996,1.4
"York",83552,100.0,55227,66.1,28351,33.9,26876,32.2,631,0.8,11679,14.0,7381,8.8,4298,5.1,14980,17.9,13687,16.4,1293,1.5,1035,1.2
"Craven",24583,100.0,17973,73.1,10396,42.3,7577,30.8,116,0.5,2212,9.0,558,2.3,1654,6.7,3782,15.4,3360,13.7,422,1.7,500,2.0
"Hambleton",38117,100.0,26508,69.5,15135,39.7,11373,29.8,156,0.4,4923,12.9,372,1.0,4551,11.9,5770,15.1,4622,12.1,1148,3.0,760,2.0
"Harrogate",67169,100.0,47738,71.1,25118,37.4,22620,33.7,395,0.6,6138,9.1,3608,5.4,2530,3.8,11771,17.5,10394,15.5,1377,2.1,1127,1.7
"Richmondshire",20207,100.0,12910,63.9,7295,36.1,5615,27.8,104,0.5,2183,10.8,1451,7.2,732,3.6,4519,22.4,2877,14.2,1642,8.1,491,2.4
"Ryedale",22524,100.0,15124,67.1,9329,41.4,5795,25.7,83,0.4,2896,12.9,213,0.9,2683,11.9,3773,16.8,3321,14.7,452,2.0,648,2.9
"Scarborough",49435,100.0,32520,65.8,19323,39.1,13197,26.7,302,0.6,6134,12.4,1163,2.4,4971,10.1,9640,19.5,8812,17.8,828,1.7,839,1.7
