
"KS209EW - Religion"
"ONS Crown Copyright Reserved [from Nomis on 14 April 2017]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"local authority: district / unitary (prior to April 2015)","All categories: Religion","%","Has religion","%","Christian","%","Buddhist","%","Hindu","%","Jewish","%","Muslim","%","Sikh","%","Other religion","%","No religion","%","Religion not stated","%"

"Darlington",105564,100.0,73433,69.6,71122,67.4,307,0.3,317,0.3,45,0.0,971,0.9,361,0.3,310,0.3,25415,24.1,6716,6.4
"County Durham",513242,100.0,375599,73.2,369715,72.0,1001,0.2,607,0.1,208,0.0,1934,0.4,609,0.1,1525,0.3,107281,20.9,30362,5.9
"Hartlepool",92028,100.0,65642,71.3,64349,69.9,152,0.2,168,0.2,9,0.0,689,0.7,97,0.1,178,0.2,20507,22.3,5879,6.4
"Middlesbrough",138412,100.0,99084,71.6,87511,63.2,370,0.3,591,0.4,45,0.0,9757,7.0,564,0.4,246,0.2,30797,22.3,8531,6.2
"Northumberland",316028,100.0,220247,69.7,216673,68.6,578,0.2,335,0.1,169,0.1,1018,0.3,494,0.2,980,0.3,75620,23.9,20161,6.4
"Redcar and Cleveland",135177,100.0,96398,71.3,95111,70.4,187,0.1,64,0.0,33,0.0,598,0.4,43,0.0,362,0.3,30054,22.2,8725,6.5
"Stockton-on-Tees",191610,100.0,137030,71.5,130723,68.2,388,0.2,675,0.4,94,0.0,4143,2.2,625,0.3,382,0.2,42910,22.4,11670,6.1
"Gateshead",200214,100.0,140980,70.4,134075,67.0,423,0.2,497,0.2,3004,1.5,2096,1.0,356,0.2,529,0.3,47758,23.9,11476,5.7
"Newcastle upon Tyne",280177,100.0,183193,65.4,158138,56.4,1701,0.6,3144,1.1,671,0.2,17561,6.3,1223,0.4,755,0.3,79345,28.3,17639,6.3
"North Tyneside",200801,100.0,131601,65.5,128185,63.8,436,0.2,513,0.3,92,0.0,1493,0.7,354,0.2,528,0.3,56408,28.1,12792,6.4
"South Tyneside",148127,100.0,108264,73.1,104090,70.3,223,0.2,254,0.2,57,0.0,2854,1.9,424,0.3,362,0.2,31247,21.1,8616,5.8
"Sunderland",275506,100.0,199850,72.5,193642,70.3,550,0.2,607,0.2,76,0.0,3650,1.3,814,0.3,511,0.2,60358,21.9,15298,5.6
"Blackburn with Darwen",147489,100.0,118806,80.6,77599,52.6,306,0.2,574,0.4,54,0.0,39817,27.0,161,0.1,295,0.2,20374,13.8,8309,5.6
"Blackpool",142065,100.0,98158,69.1,95426,67.2,450,0.3,337,0.2,252,0.2,1061,0.7,61,0.0,571,0.4,34815,24.5,9092,6.4
"Cheshire East",370127,100.0,261513,70.7,254940,68.9,882,0.2,1328,0.4,581,0.2,2438,0.7,279,0.1,1065,0.3,83973,22.7,24641,6.7
"Cheshire West and Chester",329608,100.0,235540,71.5,231126,70.1,776,0.2,653,0.2,250,0.1,1686,0.5,195,0.1,854,0.3,72649,22.0,21419,6.5
"Halton",125746,100.0,95393,75.9,94314,75.0,216,0.2,194,0.2,44,0.0,267,0.2,55,0.0,303,0.2,23543,18.7,6810,5.4
"Warrington",202228,100.0,149098,73.7,144405,71.4,457,0.2,1118,0.6,147,0.1,2097,1.0,361,0.2,513,0.3,41293,20.4,11837,5.9
"Allerdale",96422,100.0,73386,76.1,72716,75.4,183,0.2,39,0.0,19,0.0,192,0.2,9,0.0,228,0.2,16677,17.3,6359,6.6
"Barrow-in-Furness",69087,100.0,49442,71.6,48830,70.7,150,0.2,101,0.1,15,0.0,172,0.2,7,0.0,167,0.2,15252,22.1,4393,6.4
"Carlisle",107524,100.0,75592,70.3,74296,69.1,277,0.3,241,0.2,17,0.0,455,0.4,27,0.0,279,0.3,24626,22.9,7306,6.8
"Copeland",70603,100.0,56314,79.8,55687,78.9,148,0.2,81,0.1,17,0.0,227,0.3,8,0.0,146,0.2,10147,14.4,4142,5.9
"Eden",52564,100.0,37645,71.6,37165,70.7,130,0.2,42,0.1,31,0.1,115,0.2,6,0.0,156,0.3,10882,20.7,4037,7.7
"South Lakeland",103658,100.0,71735,69.2,70541,68.1,465,0.4,55,0.1,104,0.1,175,0.2,7,0.0,388,0.4,23912,23.1,8011,7.7
"Bolton",276786,100.0,213568,77.2,173608,62.7,574,0.2,5988,2.2,174,0.1,32385,11.7,118,0.0,721,0.3,47567,17.2,15651,5.7
"Bury",185060,100.0,139610,75.4,116036,62.7,453,0.2,817,0.4,10302,5.6,11279,6.1,301,0.2,422,0.2,34381,18.6,11069,6.0
"Manchester",503127,100.0,340868,67.7,245247,48.7,3879,0.8,5452,1.1,2613,0.5,79496,15.8,2292,0.5,1889,0.4,127485,25.3,34774,6.9
"Oldham",224897,100.0,176234,78.4,134167,59.7,371,0.2,1233,0.5,108,0.0,39879,17.7,70,0.0,406,0.2,36169,16.1,12494,5.6
"Rochdale",211699,100.0,159374,75.3,128186,60.6,403,0.2,642,0.3,216,0.1,29426,13.9,71,0.0,430,0.2,40014,18.9,12311,5.8
"Salford",233933,100.0,167387,71.6,150111,64.2,1040,0.4,1504,0.6,7687,3.3,6030,2.6,324,0.1,691,0.3,52105,22.3,14441,6.2
"Stockport",283275,100.0,193639,68.4,179055,63.2,853,0.3,1666,0.6,1340,0.5,9431,3.3,330,0.1,964,0.3,71126,25.1,18510,6.5
"Tameside",219324,100.0,154603,70.5,140322,64.0,511,0.2,3223,1.5,89,0.0,9705,4.4,102,0.0,651,0.3,51674,23.6,13047,5.9
"Trafford",226578,100.0,164303,72.5,143639,63.4,768,0.3,2271,1.0,2413,1.1,12994,5.7,1652,0.7,566,0.2,47968,21.2,14307,6.3
"Wigan",317849,100.0,251592,79.2,247223,77.8,703,0.2,682,0.2,71,0.0,2162,0.7,62,0.0,689,0.2,48640,15.3,17617,5.5
"Burnley",87059,100.0,64629,74.2,55399,63.6,192,0.2,175,0.2,14,0.0,8580,9.9,33,0.0,236,0.3,17178,19.7,5252,6.0
"Chorley",107155,100.0,82733,77.2,80732,75.3,275,0.3,196,0.2,45,0.0,1130,1.1,18,0.0,337,0.3,18418,17.2,6004,5.6
"Fylde",75757,100.0,57153,75.4,55843,73.7,196,0.3,175,0.2,322,0.4,350,0.5,39,0.1,228,0.3,13870,18.3,4734,6.2
"Hyndburn",80734,100.0,62464,77.4,53602,66.4,162,0.2,70,0.1,7,0.0,8336,10.3,38,0.0,249,0.3,13700,17.0,4570,5.7
"Lancaster",138375,100.0,94754,68.5,91124,65.9,540,0.4,446,0.3,119,0.1,1767,1.3,100,0.1,658,0.5,33833,24.5,9788,7.1
"Pendle",89452,100.0,64316,71.9,48043,53.7,224,0.3,91,0.1,36,0.0,15579,17.4,9,0.0,334,0.4,19573,21.9,5563,6.2
"Preston",140202,100.0,106428,75.9,85518,61.0,385,0.3,3338,2.4,60,0.0,15769,11.2,930,0.7,428,0.3,25754,18.4,8020,5.7
"Ribble Valley",57132,100.0,45429,79.5,44627,78.1,88,0.2,99,0.2,10,0.0,425,0.7,41,0.1,139,0.2,8299,14.5,3404,6.0
"Rossendale",67982,100.0,46571,68.5,43392,63.8,163,0.2,96,0.1,67,0.1,2613,3.8,9,0.0,231,0.3,17095,25.1,4316,6.3
"South Ribble",109057,100.0,84308,77.3,82547,75.7,206,0.2,556,0.5,48,0.0,592,0.5,75,0.1,284,0.3,18487,17.0,6262,5.7
"West Lancashire",110685,100.0,85348,77.1,84337,76.2,141,0.1,229,0.2,62,0.1,276,0.2,87,0.1,216,0.2,19029,17.2,6308,5.7
"Wyre",107749,100.0,81468,75.6,80346,74.6,220,0.2,161,0.1,69,0.1,305,0.3,25,0.0,342,0.3,19210,17.8,7071,6.6
"Knowsley",145893,100.0,119119,81.6,117991,80.9,165,0.1,266,0.2,58,0.0,435,0.3,37,0.0,167,0.1,18439,12.6,8335,5.7
"Liverpool",466415,100.0,354690,76.0,331217,71.0,2017,0.4,2437,0.5,2157,0.5,15209,3.3,531,0.1,1122,0.2,82701,17.7,29024,6.2
"Sefton",273790,100.0,213561,78.0,210184,76.8,504,0.2,525,0.2,486,0.2,1189,0.4,105,0.0,568,0.2,43196,15.8,17033,6.2
"St. Helens",175308,100.0,140007,79.9,138172,78.8,317,0.2,416,0.2,48,0.0,605,0.3,46,0.0,403,0.2,25653,14.6,9648,5.5
"Wirral",319783,100.0,229934,71.9,225147,70.4,905,0.3,742,0.2,265,0.1,1809,0.6,236,0.1,830,0.3,68209,21.3,21640,6.8
"East Riding of Yorkshire",334179,100.0,231335,69.2,227343,68.0,702,0.2,607,0.2,337,0.1,1309,0.4,174,0.1,863,0.3,78296,23.4,24548,7.3
"Kingston upon Hull, City of",256406,100.0,148665,58.0,140753,54.9,771,0.3,439,0.2,172,0.1,5447,2.1,289,0.1,794,0.3,89336,34.8,18405,7.2
"North East Lincolnshire",159616,100.0,99656,62.4,96836,60.7,347,0.2,386,0.2,64,0.0,1332,0.8,158,0.1,533,0.3,48476,30.4,11484,7.2
"North Lincolnshire",167446,100.0,115407,68.9,110554,66.0,381,0.2,445,0.3,48,0.0,3024,1.8,538,0.3,417,0.2,40176,24.0,11863,7.1
"York",198051,100.0,123009,62.1,117856,59.5,1016,0.5,983,0.5,202,0.1,2072,1.0,133,0.1,747,0.4,59646,30.1,15396,7.8
"Craven",55409,100.0,38243,69.0,37301,67.3,134,0.2,65,0.1,16,0.0,506,0.9,34,0.1,187,0.3,12935,23.3,4231,7.6
"Hambleton",89140,100.0,65427,73.4,64692,72.6,135,0.2,93,0.1,45,0.1,234,0.3,5,0.0,223,0.3,17652,19.8,6061,6.8
"Harrogate",157869,100.0,110461,70.0,108289,68.6,414,0.3,236,0.1,334,0.2,573,0.4,82,0.1,533,0.3,36227,22.9,11181,7.1
"Richmondshire",51965,100.0,37264,71.7,36057,69.4,373,0.7,513,1.0,26,0.1,130,0.3,7,0.0,158,0.3,11120,21.4,3581,6.9
"Ryedale",51751,100.0,37574,72.6,37172,71.8,125,0.2,20,0.0,15,0.0,57,0.1,5,0.0,180,0.3,10354,20.0,3823,7.4
"Scarborough",108793,100.0,74034,68.1,72544,66.7,295,0.3,167,0.2,67,0.1,551,0.5,8,0.0,402,0.4,26665,24.5,8094,7.4
"Selby",83449,100.0,59814,71.7,59182,70.9,133,0.2,87,0.1,60,0.1,95,0.1,51,0.1,206,0.2,18070,21.7,5565,6.7
"Barnsley",231221,100.0,160677,69.5,158287,68.5,344,0.1,232,0.1,49,0.0,945,0.4,197,0.1,623,0.3,55536,24.0,15008,6.5
"Doncaster",302402,100.0,208025,68.8,199320,65.9,683,0.2,881,0.3,79,0.0,4990,1.7,1140,0.4,932,0.3,73656,24.4,20721,6.9
"Rotherham",257280,100.0,182467,70.9,171068,66.5,401,0.2,433,0.2,63,0.0,9614,3.7,293,0.1,595,0.2,57783,22.5,17030,6.6
"Sheffield",552698,100.0,342598,62.0,290299,52.5,2282,0.4,3566,0.6,747,0.1,42801,7.7,942,0.2,1961,0.4,172516,31.2,37584,6.8
"Bradford",522452,100.0,381876,73.1,239843,45.9,1000,0.2,4882,0.9,299,0.1,129041,24.7,5125,1.0,1686,0.3,108027,20.7,32549,6.2
"Calderdale",203826,100.0,131994,64.8,114667,56.3,593,0.3,616,0.3,153,0.1,14802,7.3,355,0.2,808,0.4,57193,28.1,14639,7.2
"Kirklees",422458,100.0,294239,69.6,225751,53.4,845,0.2,1544,0.4,189,0.0,61280,14.5,3330,0.8,1300,0.3,100829,23.9,27390,6.5
"Leeds",751485,100.0,488539,65.0,419790,55.9,2772,0.4,7048,0.9,6847,0.9,40772,5.4,8914,1.2,2396,0.3,212229,28.2,50717,6.7
"Wakefield",325837,100.0,225583,69.2,216215,66.4,573,0.2,831,0.3,117,0.0,6475,2.0,399,0.1,973,0.3,79497,24.4,20757,6.4
"Derby",248752,100.0,163141,65.6,131129,52.7,822,0.3,2198,0.9,110,0.0,19006,7.6,8891,3.6,985,0.4,68668,27.6,16943,6.8
"Leicester",329839,100.0,236214,71.6,106872,32.4,1224,0.4,50087,15.2,295,0.1,61440,18.6,14457,4.4,1839,0.6,75280,22.8,18345,5.6
"Nottingham",305680,100.0,175548,57.4,135216,44.2,2051,0.7,4498,1.5,1069,0.3,26919,8.8,4312,1.4,1483,0.5,106954,35.0,23178,7.6
"Rutland",37369,100.0,26021,69.6,25481,68.2,100,0.3,75,0.2,54,0.1,131,0.4,31,0.1,149,0.4,8728,23.4,2620,7.0
"Amber Valley",122309,100.0,76264,62.4,74834,61.2,253,0.2,155,0.1,79,0.1,188,0.2,172,0.1,583,0.5,37085,30.3,8960,7.3
"Bolsover",75866,100.0,50183,66.1,49447,65.2,115,0.2,81,0.1,29,0.0,146,0.2,104,0.1,261,0.3,20507,27.0,5176,6.8
"Chesterfield",103788,100.0,67908,65.4,66175,63.8,213,0.2,257,0.2,31,0.0,699,0.7,158,0.2,375,0.4,28238,27.2,7642,7.4
"Derbyshire Dales",71116,100.0,49545,69.7,48869,68.7,164,0.2,39,0.1,56,0.1,142,0.2,34,0.0,241,0.3,16477,23.2,5094,7.2
