
"KS101EW - Usual resident population"
"ONS Crown Copyright Reserved [from Nomis on 14 April 2017]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"local authority: district / unitary (prior to April 2015)","All usual residents","%","Males","%","Females","%","Lives in a household","%","Lives in a communal establishment","%","Schoolchild or full-time student aged 4 and over at their non term-time address","%","Area (Hectares)","%","Density (number of persons per hectare)","%"

"Darlington",105564,100.0,51483,48.8,54081,51.2,104111,98.6,1453,1.4,1218,-,19747.51,-,5.3,-
"County Durham",513242,100.0,251280,49.0,261962,51.0,500288,97.5,12954,2.5,4705,-,222606.26,-,2.3,-
"Hartlepool",92028,100.0,44751,48.6,47277,51.4,91091,99.0,937,1.0,780,-,9386.11,-,9.8,-
"Middlesbrough",138412,100.0,67732,48.9,70680,51.1,136156,98.4,2256,1.6,1040,-,5387.47,-,25.7,-
"Northumberland",316028,100.0,154124,48.8,161904,51.2,310591,98.3,5437,1.7,3922,-,501301.83,-,0.6,-
"Redcar and Cleveland",135177,100.0,65655,48.6,69522,51.4,133929,99.1,1248,0.9,1096,-,24489.51,-,5.5,-
"Stockton-on-Tees",191610,100.0,94082,49.1,97528,50.9,187959,98.1,3651,1.9,1991,-,20393.06,-,9.4,-
"Gateshead",200214,100.0,97974,48.9,102240,51.1,197726,98.8,2488,1.2,1332,-,14234.74,-,14.1,-
"Newcastle upon Tyne",280177,100.0,140226,50.0,139951,50.0,271212,96.8,8965,3.2,2586,-,11343.86,-,24.7,-
"North Tyneside",200801,100.0,96883,48.2,103918,51.8,199142,99.2,1659,0.8,1550,-,8239.10,-,24.4,-
"South Tyneside",148127,100.0,71560,48.3,76567,51.7,146729,99.1,1398,0.9,867,-,6441.31,-,23.0,-
"Sunderland",275506,100.0,133953,48.6,141553,51.4,271884,98.7,3622,1.3,1531,-,13746.17,-,20.0,-
"Blackburn with Darwen",147489,100.0,73547,49.9,73942,50.1,145827,98.9,1662,1.1,1467,-,13701.18,-,10.8,-
"Blackpool",142065,100.0,69775,49.1,72290,50.9,137960,97.1,4105,2.9,1073,-,3488.10,-,40.7,-
"Cheshire East",370127,100.0,181409,49.0,188718,51.0,365065,98.6,5062,1.4,6056,-,116637.63,-,3.2,-
